====================================================================================
                    PARAMÈTRES DE FOURIER - FICHIER : cadre.txt
====================================================================================

--- 1. INFORMATIONS GÉNÉRALES ---
Nombre de cercles / moteurs : 50
Période de rotation (T)      : 2.0000 secondes
Position initiale (t=0)     : X0 = -0.000082, Y0 = 0.000717

--- 2. DÉTAIL DES MOTEURS / BARRES ---
Moteur N°  | Longueur barre     | Vitesse (rad/s)    | Phase t=0 (rad)    | Phase t=0 (deg)
--------------------------------------------------------------------------------------------
1          | 0.028726           | 0.000000           | 1.549630           | 88.79         
2          | 0.019918           | -6.283185          | -1.155634          | -66.21        
3          | 0.010233           | -3.141593          | -2.910691          | -166.77       
4          | 0.003522           | 12.566371          | -2.796754          | -160.24       
5          | 0.002090           | 9.424778           | 1.481617           | 84.89         
6          | 0.002012           | -12.566371         | -1.905850          | -109.20       
7          | 0.001973           | 6.283185           | -1.256133          | -71.97        
8          | 0.001625           | 15.707963          | -1.450993          | -83.14        
9          | 0.001616           | -9.424778          | -0.773335          | -44.31        
10         | 0.001400           | 18.849556          | 0.357270           | 20.47         
11         | 0.001255           | -15.707963         | 2.685902           | 153.89        
12         | 0.001150           | -18.849556         | -0.036454          | -2.09         
13         | 0.001044           | 3.141593           | -0.345056          | -19.77        
14         | 0.000564           | -21.991149         | -2.065090          | -118.32       
15         | 0.000479           | -25.132741         | 0.868756           | 49.78         
16         | 0.000456           | 21.991149          | -1.809648          | -103.69       
17         | 0.000443           | -28.274334         | 0.560079           | 32.09         
18         | 0.000413           | 25.132741          | -0.539583          | -30.92        
19         | 0.000404           | -31.415927         | -1.574196          | -90.19        
20         | 0.000348           | -34.557519         | -2.035106          | -116.60       
21         | 0.000343           | 37.699112          | -1.135435          | -65.06        
22         | 0.000276           | 28.274334          | -0.889350          | -50.96        
23         | 0.000257           | 31.415927          | 1.741753           | 99.80         
24         | 0.000228           | 40.840704          | -2.242444          | -128.48       
25         | 0.000211           | 34.557519          | 2.766980           | 158.54        
26         | 0.000179           | -40.840704         | -0.745632          | -42.72        
27         | 0.000167           | -53.407075         | 0.136911           | 7.84          
28         | 0.000165           | -37.699112         | 2.856814           | 163.68        
29         | 0.000161           | 53.407075          | 0.086590           | 4.96          
30         | 0.000151           | 50.265482          | -1.590675          | -91.14        
31         | 0.000147           | -50.265482         | -1.463661          | -83.86        
32         | 0.000138           | 43.982297          | -0.867781          | -49.72        
33         | 0.000123           | 59.690260          | 3.135131           | 179.63        
34         | 0.000117           | -56.548668         | -1.184279          | -67.85        
35         | 0.000109           | -59.690260         | -2.512813          | -143.97       
36         | 0.000105           | -43.982297         | -3.130722          | -179.38       
37         | 0.000101           | -47.123890         | 2.049776           | 117.44        
38         | 0.000088           | -78.539816         | -1.207414          | -69.18        
39         | 0.000087           | 72.256631          | -1.351791          | -77.45        
40         | 0.000084           | -75.398224         | 0.491153           | 28.14         
41         | 0.000079           | -69.115038         | -1.050219          | -60.17        
42         | 0.000076           | 47.123890          | 0.755988           | 43.31         
43         | 0.000074           | -72.256631         | 2.186449           | 125.27        
44         | 0.000074           | 62.831853          | -1.741422          | -99.78        
45         | 0.000067           | 56.548668          | 3.014317           | 172.71        
46         | 0.000063           | 84.823002          | -2.531166          | -145.03       
47         | 0.000058           | 81.681409          | -0.036151          | -2.07         
48         | 0.000056           | -113.097336        | -0.924996          | -53.00        
49         | 0.000054           | 65.973446          | -0.436257          | -25.00        
50         | 0.000054           | 100.530965         | -0.797046          | -45.67        
--------------------------------------------------------------------------------------------
