====================================================================================
                    PARAMÈTRES DE FOURIER - FICHIER : engrenages.txt
====================================================================================

--- 1. INFORMATIONS GÉNÉRALES ---
Nombre de cercles / moteurs : 50
Période de rotation (T)      : 2.0000 secondes
Position initiale (t=0)     : X0 = 0.007308, Y0 = 0.018399

--- 2. DÉTAIL DES MOTEURS / BARRES ---
Moteur N°  | Longueur barre     | Vitesse (rad/s)    | Phase t=0 (rad)    | Phase t=0 (deg)
--------------------------------------------------------------------------------------------
1          | 0.021995           | 0.000000           | 1.081425           | 61.96         
2          | 0.004461           | 3.141593           | -3.094700          | -177.31       
3          | 0.002729           | -6.283185          | -0.319455          | -18.30        
4          | 0.002258           | -9.424778          | -2.590942          | -148.45       
5          | 0.002123           | 6.283185           | 2.897450           | 166.01        
6          | 0.001671           | -3.141593          | -0.487811          | -27.95        
7          | 0.001395           | 9.424778           | 1.796423           | 102.93        
8          | 0.000690           | 12.566371          | 0.941852           | 53.96         
9          | 0.000591           | -15.707963         | 2.354386           | 134.90        
10         | 0.000540           | -18.849556         | 0.235054           | 13.47         
11         | 0.000489           | 15.707963          | -1.108399          | -63.51        
12         | 0.000474           | -12.566371         | 0.741197           | 42.47         
13         | 0.000274           | -21.991149         | -0.983115          | -56.33        
14         | 0.000226           | 25.132741          | -1.303765          | -74.70        
15         | 0.000125           | -31.415927         | -1.137183          | -65.16        
16         | 0.000111           | -28.274334         | -0.645975          | -37.01        
17         | 0.000099           | 34.557519          | -1.199550          | -68.73        
18         | 0.000090           | 18.849556          | -2.450689          | -140.41       
19         | 0.000089           | 21.991149          | 0.664811           | 38.09         
20         | 0.000066           | 31.415927          | 0.047048           | 2.70          
21         | 0.000057           | -37.699112         | -1.332155          | -76.33        
22         | 0.000051           | -34.557519         | 3.114549           | 178.45        
23         | 0.000049           | -43.982297         | 2.940441           | 168.47        
24         | 0.000045           | 40.840704          | 0.251288           | 14.40         
25         | 0.000036           | -40.840704         | -1.366579          | -78.30        
26         | 0.000036           | 43.982297          | -1.164477          | -66.72        
27         | 0.000036           | 37.699112          | 0.606164           | 34.73         
28         | 0.000031           | 47.123890          | 1.025523           | 58.76         
29         | 0.000027           | -47.123890         | -1.036714          | -59.40        
30         | 0.000024           | 62.831853          | -1.961021          | -112.36       
31         | 0.000023           | -53.407075         | 2.772710           | 158.86        
32         | 0.000023           | -65.973446         | -0.176730          | -10.13        
33         | 0.000021           | -25.132741         | 2.673283           | 153.17        
34         | 0.000021           | -75.398224         | -0.196470          | -11.26        
35         | 0.000020           | 72.256631          | -1.920739          | -110.05       
36         | 0.000020           | 53.407075          | -1.938086          | -111.04       
37         | 0.000020           | -56.548668         | -0.174345          | -9.99         
38         | 0.000019           | 50.265482          | 0.839020           | 48.07         
39         | 0.000018           | 28.274334          | -0.329278          | -18.87        
40         | 0.000018           | 56.548668          | 1.228985           | 70.42         
41         | 0.000017           | -84.823002         | -0.658905          | -37.75        
42         | 0.000013           | 65.973446          | 1.242462           | 71.19         
43         | 0.000013           | 81.681409          | -1.844115          | -105.66       
44         | 0.000013           | 103.672558         | 0.588061           | 33.69         
45         | 0.000011           | 87.964594          | -1.504273          | -86.19        
46         | 0.000011           | 84.823002          | 0.032246           | 1.85          
47         | 0.000011           | -62.831853         | 2.500964           | 143.29        
48         | 0.000010           | -94.247780         | -0.710619          | -40.72        
49         | 0.000010           | 78.539816          | -1.452339          | -83.21        
50         | 0.000010           | 94.247780          | 0.563027           | 32.26         
--------------------------------------------------------------------------------------------
