====================================================================================
                    PARAMÈTRES DE FOURIER - FICHIER : lion.txt
====================================================================================

--- 1. INFORMATIONS GÉNÉRALES ---
Nombre de cercles / moteurs : 20
Période de rotation (T)      : 2.0000 secondes
Position initiale (t=0)     : X0 = -0.017513, Y0 = 0.045152

--- 2. DÉTAIL DES MOTEURS / BARRES ---
Moteur N°  | Longueur barre     | Vitesse (rad/s)    | Phase t=0 (rad)    | Phase t=0 (deg)
--------------------------------------------------------------------------------------------
1          | 0.042837           | 0.000000           | 1.571245           | 90.03         
2          | 0.010662           | -3.141593          | 2.444807           | 140.08        
3          | 0.004255           | 3.141593           | -2.330385          | -133.52       
4          | 0.002721           | -6.283185          | -2.612381          | -149.68       
5          | 0.001348           | 12.566371          | 1.806385           | 103.50        
6          | 0.001101           | -9.424778          | -0.447735          | -25.65        
7          | 0.001079           | 9.424778           | 2.588170           | 148.29        
8          | 0.000921           | 18.849556          | -2.867846          | -164.32       
9          | 0.000814           | 6.283185           | -2.738391          | -156.90       
10         | 0.000777           | -18.849556         | -2.291509          | -131.29       
11         | 0.000772           | -25.132741         | 1.732860           | 99.29         
12         | 0.000758           | 15.707963          | -2.723830          | -156.06       
13         | 0.000740           | 25.132741          | 3.047544           | 174.61        
14         | 0.000718           | 21.991149          | -0.482478          | -27.64        
15         | 0.000577           | -15.707963         | -2.943221          | -168.63       
16         | 0.000574           | -21.991149         | -2.077047          | -119.01       
17         | 0.000395           | -12.566371         | -1.581383          | -90.61        
18         | 0.000261           | -47.123890         | 1.047100           | 59.99         
19         | 0.000219           | -43.982297         | 2.512564           | 143.96        
20         | 0.000219           | 37.699112          | 0.735518           | 42.14         
--------------------------------------------------------------------------------------------
